"id" "year" "TC" "Y1" "Y2" "W1" "W2" "W3" "ER" "LA" "TA" "ZSCORE" "ZSCORE3" "SDROA" "LLP" "lnzscore" "lnzscore3" "lnsdroa" "scope" "ms_county" "sample"
37 2007 3718.942 24410.38 42237.77 43.22917 60.375 3.395796 0.199045166818716 0.566632583956413 74541.72456 113.8341 82.73645 0.1960481 103.5654794 4.73474212531273 4.41566025462573 -1.62939524169601 0.626165153984806 0.653993965809898 FALSE
505 2007 12043.72 65833.75 247174.1 28.14514 48.98214 2.110874 0.0766393775660018 0.772102371683027 320131.2534 39.67968 23.53931 0.2507055 470.7521792 3.68083921786802 3.15867178959285 -1.38347633548654 0.592950512310939 0.979536104125747 FALSE
1155 2007 8330.431 37691.24 118208.7 11.05231 52.75 4.11544 0.0874956412553395 0.691946516730762 170835.0243 139.7636 40.23234 0.0824686 310.6964383 4.9399524239371 3.69467114981825 -2.49533766415098 0.499244013115316 0.523329204224268 FALSE
1351 2007 5127.433 47814.3 57981.61 25.17073 45.48 3.773112 0.135476018710534 0.510004024214076 113688.5343 24.08608 28.66467 0.663998 132.7521145 3.18163408026431 3.35566535399685 -0.409476141558432 0.344927697343467 0.0697975395683735 FALSE
1454 2007 16092.19 133688 201367.1 49.53941 57.55556 1.759342 0.0875785226803933 0.522588023899333 385326.6642 49.18211 13.38328 0.2361265 338.941569 3.89552993948707 2.59400616666068 -1.44338760061314 0.497423255386306 1.11828700798688 FALSE
1669 2007 7596.999 109897.1 69494.32 32.40291 42.03226 2.544404 0.177982817621533 0.331389320515841 209705.9733 52.16376 32.21183 0.3827366 303.1644034 3.95438800090991 3.47233377638305 -0.960408254854719 0.5046938403258 19.1978176398857 FALSE
1829 2007 14237.43 96759.34 232401.9 36.173 50.28421 3.187154 0.0978161732020156 0.66158062575565 351282.8081 29.10343 21.41058 0.4044491 225.961046 3.3708560366472 3.06388519237945 -0.90522938476481 0.672234943618769 0.0238114274093726 FALSE
1856 2007 5896.642 174997.4 17327.45 29.47154 36.75 5.032946 0.0754679636987586 0.0868830592471313 199434.1607 20.3811 8.567926 0.5087758 37.66017433 3.0146080008228 2.1480256963201 -0.675747830980457 0.545059016390079 4.10999437304731 FALSE
2040 2007 7243.935 33616.41 134649.3 23.07047 48.5625 3.118541 0.0892999611879143 0.760872184594833 176967.0422 47.72721 27.08249 0.2505879 369.0697085 3.86550167550668 3.29888739359539 -1.383945521804 0.738174139595453 0.158908937897532 FALSE
2161 2007 3757.544 32089.29 55842.51 17.13124 47.12121 2.281799 0.110392625216567 0.578512594145282 96527.73434 70.24788 29.45176 0.2033278 78.14486174 4.25203012982255 3.3827536706209 -1.59293582396793 0.408492791544688 8.83676231005408 TRUE
2732 2007 20514.44 50523.95 396144.6 29.03121 65.20192 2.965738 0.131268552132662 0.829511082338719 477563.9632 59.61449 25.91161 0.2643546 381.3092651 4.0878986653276 3.25469113081411 -1.33046389527939 0.692172216308457 0.30755524199361 FALSE
2750 2007 2250.195 10184.25 33381.98 11.87384 70 4.213115 0.104318924515591 0.705999513395117 47283.29038 54.82332 26.28068 0.2351376 79.0863661 4.00411565087959 3.26883406847191 -1.44758440428001 0.391564581344344 0.116949183049457 FALSE
2938 2007 16590.25 40433.85 312683 12.2146 54.50649 3.739335 0.079101303834344 0.831207997877225 376179.0079 72.79994 12.66871 0.1524068 1373.654859 4.28771513102648 2.53913517383776 -1.88120201730244 0.609547743602606 0.937117519507288 FALSE
3252 2007 4395.884 44651.79 53409.66 42.17311 52.68571 2.398036 0.122918339846241 0.508452099898787 105043.6413 37.61321 14.1483 0.4053611 310.6964383 3.62735531848122 2.64959447552894 -0.902977004180904 0.336462808245217 1.54710238334228 FALSE
3720 2007 7247.701 48198.43 102167.3 16.71428 52.11864 2.841816 0.130871218597155 0.626002052148636 163206.0145 115.7171 34.65446 0.1384658 80.96937482 4.75114841930307 3.54542643308147 -1.97713191525527 0.611826081060302 0.739244070387604 FALSE
3953 2007 5611.366 3.766017 95202.09 18.6227 56.29268 2.491261 0.0811194656729826 0.908769758193198 104759.3069 13.04773 9.208421 0.9293323 447.2145702 2.56861417227813 2.22011839148648 -0.0732889076786283 0.359503006742638 0.996432319085393 FALSE
4138 2007 9559.094 32439.53 139015 8.495381 42.47675 3.06721 0.0879498589219025 0.747135967281702 186063.8573 75.1852 17.75952 0.1473241 498.9973099 4.31995440307582 2.87692171017176 -1.91512035721963 0.636885563775184 0.835435265919512 FALSE
4156 2007 8265.467 54332.33 103061.8 12.63226 48.90909 3.037166 0.0876627956324075 0.589399412139771 174859.0139 24.83441 24.51782 0.4445702 1280.445927 3.21223019148227 3.19940020010087 -0.810647306239131 0.494587474561053 0.435599653165704 TRUE
4231 2007 5873.104 41478.91 66401.48 24.64029 48.78788 3.842959 0.110239003663959 0.567754262559745 116954.6129 109.8634 32.95999 0.1170851 135.5766276 4.69923777591546 3.49529440164317 -2.14485425814816 0.609578684541484 16.259995523236 TRUE
4437 2007 9599.578 42628.49 158152 21.72532 44.82759 3.373004 0.103161965161553 0.747871757560185 211469.4109 78.06779 37.14159 0.1699891 569.6101368 4.35757755180274 3.61473736599366 -1.77202096163456 0.645206660114307 0.613722113643725 FALSE
4839 2007 13582.14 59208.38 191249.7 20.82818 58.97647 3.736973 0.0826104503598866 0.725124543880828 263747.3819 26.2824 13.91766 0.3874042 574.3176586 3.26889951364752 2.63315853732703 -0.948286686560525 0.879908487246041 0.169855550494007 FALSE
5005 2007 18902.58 68001.09 289038.1 27.6142 66.1875 3.250675 0.0920871116823912 0.7395587878051 390825.0497 71.14403 17.89918 0.1549689 315.40396 4.26470641377722 2.88475490174153 -1.86453082735611 0.893558502137314 0.958485818385248 FALSE
5135 2007 13468.22 41474.21 198678.1 15.42594 49.22807 4.09513 0.106461727048154 0.712678498113342 278776.616 45.01642 18.64318 0.3081049 494.2897881 3.80702731210345 2.92548039556514 -1.17731496957868 0.50991495989558 1.79519954777132 FALSE
5461 2007 16466.91 66242.37 293368.1 26.46971 63.92683 2.052984 0.0918352713207387 0.753334701422184 389425.9742 35.54765 12.97192 0.3383673 0 3.57087404998552 2.56278702129685 -1.08362328712484 0.693972693713578 2.37721893869774 FALSE
5751 2007 3846.045 41066.54 49006.24 46.74329 54.42857 3.010896 0.203804034100487 0.475746935412723 103009.0503 55.29454 31.09223 0.4013078 193.9498978 4.01267416947653 3.43695794874187 -0.913026565067857 0.419189151421516 0.986757522251447 FALSE
6039 2007 4667.979 11501.42 47941.4 22.00296 59.32143 3.31946 0.109157720786075 0.56874153032505 84293.82671 51.74159 33.0834 0.2569468 213.7214893 3.94626190686167 3.49903164601051 -1.35888621940623 0.407589950544521 0.0822968629784566 FALSE
6329 2007 22905.86 39327.58 280849.8 18.40875 45.1676 3.308322 0.0879536678642201 0.786182825298271 357232.1742 48.59281 11.87213 0.2401908 1977.159153 3.88347557757506 2.47419363649984 -1.42632167148526 0.446729828969961 0.253297724778557 TRUE
