"id" "year" "TC" "Y1" "Y2" "W1" "W2" "W3" "ER" "LA" "TA" "ZSCORE" "ZSCORE3" "SDROA" "LLP" "lnzscore" "lnzscore3" "lnsdroa" "scope" "ms_county"
152440 2007 4659.505 8661.84 58393.04 38.55422 37.75 4.146092 0.111778871934883 0.77816112616642 75039.78037 29.49198 11.93898 0.4532092 732.4903908 3.38411836197717 2.47980867717967 -0.791401449946069 0.480179197788514 0.346665182046418
544335 2007 10848.96 19492.91 146789 30.66785 45.13934 2.263886 0.113912072987967 0.767930041963972 191148.9224 62.97659 20.66493 0.2298561 305.9889165 4.14276307003428 3.02843806058801 -1.47030181803485 0.525494716773082 0.883060633373929
548203 2007 14523.65 18630.49 219705.7 27.38797 56.02857 4.312672 0.13429836246519 0.888001010434055 247416.0473 38.99969 30.88642 0.3874364 1534.652104 3.66355369738011 3.43031660510245 -0.948203572691637 0.889717694002119 1.14300080111575
568238 2007 1644.808 11902.5 18675.68 32.84768 50.47368 1.541316 0.102989099253201 0.505041234313499 36978.52518 30.68124 24.53655 0.4063778 0 3.42365139289221 3.20016384260245 -0.90047201019417 0.391769212556561 0.170831618910997
651158 2007 3054.24 29322.21 38916.14 42.20033 52.23529 3.192056 0.142100362197345 0.526400228962553 73928.80523 30.02672 28.42257 0.5496323 0 3.40208765192063 3.34718354785563 -0.598505769786331 0.552398400291739 0.341532752323701
705444 2007 6168.736 36568.03 67179.16 11.95771 41.46667 3.181241 0.14498798653589 0.522227585655208 128639.6235 110.6765 37.66002 0.1502981 0 4.70661153172266 3.62859905429631 -1.89513462368701 0.407301199391838 0.594283169262029
796451 2007 18459.13 124751.2 213962.5 13.6474 32.32076 4.188042 0.0823776125869459 0.555003039659272 385515.9066 37.82984 10.468 0.2466348 9.415043584 3.63309820918847 2.3483229846679 -1.39984657898686 0.502827685952344 1.78098791446768
906559 2007 12705.6 30933.13 137013.4 7.285194 61.55882 3.678505 0.0873659369332258 0.709329494048588 193159.0342 18.88566 8.780222 0.5266634 1740.841559 2.93840290392546 2.17250169206541 -0.641193644180116 0.623565290270164 0.892346851559067
2804882 2007 6033.16 83123.54 32367.04 11.06429 52.525 2.604038 0.0649695367326778 0.24528035042217 131959.3679 35.88356 25.62312 0.2637309 121.4540622 3.58027925188961 3.24349506891351 -1.33282601387571 0.9013624896816 0.609619565385514
38526 2007 10956.29 111829.1 156298.2 76.47963 39.87778 2.79609 0.12825722499851 0.549169519283229 284608.294 135.0909 34.40693 0.1142965 23.53760896 4.90594788518458 3.5382579975787 -2.16895932982256 0.607604238702485 0.0192919481865369
73116 2007 28803.44 98578.33 408299.4 8.823529 65.83803 3.59999 0.101966023016245 0.73203496764815 557759.4214 37.46301 28.48321 0.3289286 955.6269237 3.62335404616373 3.34931479086656 -1.11191457304589 0.849451011655948 0.037807281393569
147679 2007 4764.012 29025.64 75537.84 16.08943 66.8421 3.302046 0.06986498774853 0.688193752608924 109762.4611 49.615 33.47222 0.1593993 0 3.9042932073662 3.5107158410786 -1.83634290410367 0.987367523573808 0.00744016164324422
266253 2007 3188.875 7727.868 32618.42 16.71807 44.11111 6.589097 0.122467004379978 0.712010390838189 45811.71907 58.73176 17.13025 0.2739549 -202.423437 4.07298063673397 2.84084590650858 -1.29479178468204 0.3777821029959 0.00310531115665457
361653 2007 14203.54 20145.37 231239.1 6.692317 42.83636 3.172197 0.0783354203627511 0.820349172043252 281878.8729 12.45085 7.684121 0.9644864 1012.117185 2.52178889367258 2.03915599178909 -0.0361595473060109 0.339781540832087 0.0191069365352586
2290887 2007 8814.364 23419.92 155992.2 125.7563 67.45161 1.812411 0.0800962450217022 0.787669856754615 198042.6173 33.58138 7.567206 0.2917292 235.3760896 3.51397174669539 2.02382391081216 -1.23192930427303 0.726117101097049 0.0134241622335776
147053 2007 3552.296 3750.012 45566.93 11.63201 50.58333 3.693192 0.0763595855654821 0.719138219770029 63363.24332 38.02027 21.32716 0.2519185 211.8384806 3.63811943856058 3.05998137781454 -1.37864965647829 0.695293007508061 0.0618621357803184
297453 2007 15487.75 217850.9 151541.7 17.38334 60.33846 2.880616 0.058021653179771 0.392443999489083 386148.5975 35.89417 6.730955 0.23746 367.1866998 3.58057488676347 1.90671703552116 -1.43775609074449 0.879242552888477 0.377000540349305
331106 2007 8057.395 22166.78 99241.15 21.36391 65.62295 2.861227 0.0851052155899438 0.709033183271528 139966.8624 18.91601 8.581047 0.522419 47.07521792 2.94000865343448 2.14955593402709 -0.649285331084066 0.743252275887604 0.136650976068343
